# 회의 14 — 기업 AX를 위한 SW개발 전략

- 녹음: `recordings/14.bin`(webm/opus · 확장자만 bin)
- 시작(UTC): 2026-09-08 07:12:03.253374+00 · 상태: generating · 최종 회의록: running
- 실시간 전사 블록 35개 · 10155자 · 마지막 22:07
- AI 한 줄 요약: (없음)

> 실시간 STT(Soniox realtime)가 회의 중 확정한 블록 그대로. 종료 후 재전사(async)는 DB 에 덮어쓰이므로 최종 회의록이 나온 회의는 재전사본이다. `at_ms` 는 회의 시작 기준.

| # | 화자 | 시작 | 끝 | 내용 |
|---|---|---|---|---|
| 1 | 1 | 00:00 | 00:42 | 네, 아키텍처를 다루는 한민이라고 합니다. 어, 오늘 오전부터 아주 다양한 장면에서 저한테 기업의 AX를 위한 다양한 아이디어, 전략, 업무를, 어, 분석할 텐데요. 오늘 제가 말씀드릴 내용은 뭐냐면, 제가 회사 내에서 업무 대행자를 2남으로 개발하고 있습니다. 사내 개발자, 운영 대상으로, 어, 해외 개발자까지 포함해서, 어, 이렇게 판을 하고 있는데, 이 코드 에이전트 개발의 모습을 사내에서 하는 경험을 기반으로, 기업의 AX를 어떻게 시사할 수 있을지 그 아이디어를 여러분들에게 공유하려고 합니다. 어, 순서는 먼저 AI가 어떻 |
| 2 | 1 | 00:42 | 01:19 | 게 소프트웨어 개발을 변화시켰는지 살펴보고, 이 AI 개발의 이상과 현실을, 그 간극을 한번 살펴본 다음에, 그렇다면 이 소프트웨어 개발의 AX 전략을 기업의 AX 전략까지 어떻게 잇게 될 수 있을지를, 어, 말씀드리려고 합니다. 네, AI가 변화시키는 문제가 아닙니다. 어, 생각해 보십시오. 우리가 개발 프로젝트를 할 때 가장 전술력이 있는 곳이 어딘가요? 어떤 피처를 개발하고 구현하는, 개발자들이 단체에서 일을 해야 하는, 거기에 전술력이 있다면 그 전술력은 어느 정도 해결됐지만, 이제는 다른 곳으로 전술력이 이동했습니다. 그 공 |
| 3 | 1 | 01:19 | 02:01 | 로기, 개발 및 구현에서 리뷰하는, 승인하는, 이 용역으로 이동을 했다는 것입니다. 그렇기 때문에 개인의 개발 속도는 높아졌지만, 어, 전체적인 개발 속도와 생산성은 크게 나아지지 않았을 것입니다. 그러면 이런 코드 생산, 코드 구현이 왜 이렇게 빨리 발달했을까요? 이 코드 생성, 코드 구현은 AI가 가장 좋아하는 업무 영역이 있습니다. 왜냐하면 무엇을 할지, 어디까지 하면 끝인지를 명확하게 알 수 있습니다. 개발의 업로라는 것은, 어, 규범과 표준이 정해져 있죠. 그리고 해야 되는 일, 요구사항, 관련 정보를 한 공간에 잘 몰 수 |
| 4 | 1 | 02:01 | 02:39 | 있습니다. 그리고 테스트나 빌드, 정적 분석 도구를 통해서 내가 한 것이 잘된 건지, 못된 건지 바로바로 피드백을 받을 수 있고, 이런 것들을 하나의 공간에 묶여서 할 일을 할 수 있습니다. 그리고 이렇게 할 수 있는 개발 효율도 이미 정해져 있죠. 어, 이런 개인의, 어, 이런 효율은 개인의 눈으로, 구현한 로그에서는 어느 정도 통하지만, 프로젝트의 환경에서는 그렇지 못합니다. 여러분도 아시다시피 프로젝트에는 여러 가지 단계가 있고, 거기에 들어가는 여러 유발자, 시스템이 연결되어 있습니다. 그래서 한 단계에서 일을 하게 되면 다음 |
| 5 | 1 | 02:39 | 03:23 | 단계로 단절된 자료들이 연결이 되고, 그 연결된 정보를 인수인계해야 하고, 대기하는 시간이 많아지는 거죠. 그렇기 때문에 개인의 눈코에서 나왔던 그 효율이 프로젝트 전반의 성과로는 이어지지 않습니다. 네, 그렇죠. 이런 것들이 이제 개인의, 어, 정보들은 이렇게 한 공간에서 엮을 수 있다라고 했는데, 어, 실제 프로젝트에서는 그렇지 못합니다. 해야 되는 목표는 세이프한 쌍에서 정해지거나, 러프한 요구사항에 있을 확률이 높고요. 어, 구현해야 되는 요건에 대한 정보는 설계 문서와 실제 데이터가 들어가 있는 운영 시스템, 그다음에 코드 |
| 6 | 1 | 03:23 | 04:03 | 저장소, 담당자 지식, 단독지로 존재할 가능성이 높죠. 그리고 대부분 문서는 현행화돼 있는지, 최신의 정보인지 알 수가 없습니다. 또한 이런 걸 판정하는, 어, 담당자들은 대부분 능력이 뛰어나서 대부분 바쁜 개발 리드가 담당하고 있고, 혹은 잘 모르는 품질 보안 조직과 같이 묶여 되어 있습니다. 개인으로서는 한 곳에 모아서 효율적으로 할 수 있던 것이, 실제 프로젝트에 들어가면 이런 것들이 다 분산되어 있다라는 것입니다. 흩어진 정보가, 그러면 이 흩어진 정보를 누군가는 이어야 프로젝트가 이어지는 거고, 현재는 이, 어, 읽는 역할 |
| 7 | 1 | 04:03 | 04:41 | 을 사람이 하고 있습니다. 요구사항이 있고, 실제 반영이 완료될 때까지 AI가 작업안을 생성하고, 실제 구현과 검증을 하는 동안 사람이 1:1의 이해 배려가, 완료 기준, 어, 예외 판단 기준, 이런 것들을 줘야 하고, 수많은 데이터들을 종합해서 AI가 코딩할 수 있도록, 어, 연결해 줘야 합니다. 그리고 그 결과를 사람이 판단해야 되는 겁니다. 이 루프에서 항상 사람이 포함됩니다. 그렇기 때문에 AI가 능력이 뛰어나고, 훨씬 더 빨라질수록 사람이 여기에 개입되는, 어, 횟수도 더 많아지는 거죠. 그만큼 힘든 일을 많이 할 수밖에 없 |
| 8 | 1 | 04:41 | 05:16 | 습니다. 네, 그렇습니다. 힘든 건 뭘까요? 구현, 구현 작업의 속도입니다. 코드를 생성하고, 실행, 검증해서 변경을 시도하는, 이것들은 엄청나게 빨리 찍혔습니다. 하지만 문제가 되는 것은 뭐냐, 일을 정리하고, 어디까지 해야 되는지, 그리고 틀린 정보들을 연결하는 것, 그리고 다 됐을 때 이게 잘됐는지 못됐는지 승인하는 것, 이것들은 여전히 유지되어 있다라는 겁니다. 이런 것들 때문에 개인의 개발 속도가 시스템 전체의 개발 속도로 이어지지 않는 것 같습니다. 그래서 저희는 느꼈습니다. 어, 이제 빨라져야 할 것은 코드 생성이 아니 |
| 9 | 1 | 05:16 | 05:55 | 라 개발 체계다. 그래, 개발 체계를 어떻게 바꿀 것이냐를 집중적으로 봐야 한다라고 생각합니다. 그래서 저희의 개발 전략은, 어, 이런 개발 체계를 어떻게 잘 만들어낼 것인가를 생각하고 있습니다. 저희는 코드 에이전트를 인아웃으로 개발하고 있고, 아까도 말씀드렸듯이 다양한 스펙으로 제공을 하고 있는데, 그 과정 속에서 가장 핵심은 개발 흐름 속에 이 코드 에이전트가 어떻게 유연하게 등장하게 할 것인가를, 어, 표현하는 것입니다. 그렇습니다. 아, 기존의 작업, 사람 중심의 작업을 보면, 어, 작업을 선택하고 에이전트에게 목표를 전달 |
| 10 | 1 | 05:55 | 06:35 | 합니다. 그러면 에이전트가 조회하고, 실제 뭔가를 바꾸고, 테스트, 검증을 거쳐서 실제로 기록하고, 그 결과를 사람한테 전달하면, 사람은 그걸 확인하고 피드백을 받아서 다음 작업으로 계속 위임하는, 이 일들을 사람은 계속 해왔죠. 하지만 이제는 개발 흐름을 바꿔야 합니다. 에이전트가 자동으로, 어, 원하는 시점이 됐을 때, 원하는 이벤트가 됐을 때 스스로 발현돼서 동작할 수 있어야 하고요. 어, 그 내용에서 기준이 충족되면 완료를 하고, 다음 작업을 이관하는, 어, 사람이 읽는 순간은 아주 최소한으로 묶는 그런 역할들이 필요하고, 그 |
| 11 | 1 | 06:36 | 07:16 | , 그 중간에 일어나는 정보 흐름도 유연하게 대처할 수 있어야 합니다. 단지 사람은 여기서 아주 작은 코딩을 다뤄야 하고, 전체적으로는 예전에는 단권 중심의 작업 위주로 했다라고 하면, 개발 흐름을 전체적으로 운영하는지, 연속적으로 운영할 수 있는, 이 프레임을 만드는 것에 집중해야 합니다. 그렇죠. 예전에는 에이전트에게 '이거 개발해 줘'라고 이렇게 지시했다면, 앞으로는 그것들은 AI가 자동으로 할 거니, 이 각 연결 흐름이 어떻게 유연하게 갈 수 있을지를 고민하는 게 우리의 개발자가 되어야 합니다. 네, 그래서 AX, 어, 소프트 |
| 12 | 1 | 07:16 | 07:51 | 웨어 개발에서 AX의 설계 관점은 저희가 생각하기에 한 네 가지 정도로, 어, 정리할 수 있는 것 같습니다. 일단은 어떤 모델을 쓸 거냐, 어떤 환경에서 도입이 될 거냐, 이것은 예전에 좋은 모델을 도입하는 게 우선이었다면, 사람별 모델을 어떤 걸 쓸 거냐를 집중해야 합니다. 그리고 개발 프로세스를 획기적으로 바꿔야 합니다. 기존의 사람 중심의 프로세스에서 사람과 AI가 적극적으로 협업할 수 있고, 사람은 승인만 하고 AI가 주도적으로 일할 수 있는, 그런 개발 프로세스를 만들어야 하고, 그 개발 프로세스 내에, 어, 적절한 정보들을 |
| 13 | 1 | 07:52 | 08:29 | 계속 주입할 수 있는 구조가 만들어져야 합니다. 이렇게 되면 AI는 자연스럽게 수많은 일을 할 수 있게 될 텐데, 그 일들이 통제한, 통제되는 상황 속에서 할 수 있도록, 전환과 통제가, 어, 필수적으로 구현이 되더라도, 사람과 똑같이 에이전트도 기업 기준에 맞춰서 공격할 수 있고, 적응할 수 있어야 합니다. 그리고 이런 것들이 단번에 끝나는 것이 아니라, 세밀하게 데이터로 저장이 돼서, 앞으로는 그런 프로세스들이 지속적으로 계속 달릴 수 있는 환경, 이런 것들이 만들어져야 합니다. 저희가 코드 에이전트, AI 툴을 만들면서 이 네 |
| 14 | 1 | 08:29 | 09:07 | 가지를 중점적으로 살펴보려고 하고 있고, 아직 부족하지만 이 관점으로 계속 발전해 나가고 있습니다. 네, 먼저 모델들을 싹 짚어보면, 과거에는 가장 성능 좋은 게 짱이었죠. 뭐, Anthropic 코스가 짱이다, 뭐 이렇게 얘기가 됐고, 그중에 이제 토크노믹스 해가지고 비용 관점으로 어떻게 모델을 선정할 거냐, 이런 관점을 많이 봤지만, 이제는 사람별 모델 운영을 바꿔야 합니다. 기술 검토를 할 때와 운영 시스템에서 특정 비즈니스 로직을 바꿀 때, 같은 환경일 수 없겠죠. 이런 사항처럼 개발 프로세스 단계로 보면 좀 더 명확합니다. |
| 15 | 1 | 09:08 | 09:44 | 처음에 기술 검토와 PoC 단계에서는 어떤, 뭐, 기업의 보안이 있겠지만, 좀 더 느슨한 상태에서 외부 데이터를 최대한 활용할 수 있는 최상의 모델을 사용할 수 있을 것, 그런 환경을 만들 수 있을 거고요. 어떤 프로젝트 구성이나 공통 개발을 할 때는 이미 상용화돼 있는 외부 서비스를 활용해서 빠르게 진행할 수도 있을 겁니다. 그렇지만 운영 환경의 업무 로직을 개발한다든지, 운영 시스템을 바꾸는 거는, 최세난 환경에서, 권한이, 권한이 축소된 상황에서 개발해야 되는 환경이 필요합니다. 그래서 이런 다양한 환경 속에, 어, 우리는 노 |
| 16 | 1 | 09:44 | 10:22 | 출되어 있기 때문에, 거기에 맞는, 어, 시스템과 환경을 갖춰야 된다는 말씀입니다. 그렇습니다. 하지만 이렇게, 어, 환경만 갖추면 될까요? 그 과정 속에서 수많은 데이터들이 단절돼 있습니다. 예를 들면, 뭐, 많이 해보셨겠지만, 어, 보안 정보 관련된, 어, 정책이 바뀌었다라고 하면, 어, 사람은 요구사항이 어디에 있고, 뭐, 어디를 바꿔야 하는지 알기 때문에, 누가 지시하지 않아도 알아서 찾아서 하지만, 이걸 AI에게 일방적으로 시킨다라고 하면, 아무것도 해내지 못하고, 처음부터 계속 처음부터 찾는 작업, 했다가 지웠다가, 했다가 |
